USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION
巴特罗之家,#2020最后一天# 祝福全宇宙的小可爱们2021元旦快乐。。🥰🥰🥰🥰世界文化遗产#再见2020##巴特罗之家##世界遗产##西班牙 ##带着微博去旅行# 2西班牙·巴塞罗那 L巴特罗之家的微博视频 ​,2020年12月31日 19:42,评论 , 6,西班牙·巴塞罗那
巴特罗之家,#一张照片告别2020# 2021我们一定会更好🥰#再见2020##巴特罗之家#世界文化遗产#世界遗产##西班牙 # 2西班牙·巴塞罗那 ​,2020年12月31日 19:39,评论 , 17,西班牙·巴塞罗那
xo酷酷如我xo,Casa Amatller 阿马特耶之家🍫巧克力大亨的🏠，现代主义建筑，坐落在不和谐街区，由何塞·普伊赫·卡达法尔克建造，紧挨巴特罗之家。它家的巧克力品牌据说欧洲最古老的，也就是说从能喝的到能吃的都是巧克力最后参观完还送一盒巧克力哦🍫并且巧克力品牌上的画像都是由著名画家阿尔丰斯·慕夏（Alfons Maria Mucha）所创作的👍🏻 2西班牙·阿马特耶之家 收起全文d,2020年12月31日 06:36,评论 , 1,西班牙·阿马特耶之家
颛孙静恬396,【风景旅行】【高迪的骨灰之家】巴特罗的家位于西班牙巴塞罗那市，以其奇特的造型而闻名。是建筑设计历史上的经典之一。真的是合拍着气做明信片呢。 ​,2020年12月30日 00:56,评论 , ,
做殡葬的小陈,高迪！巴特罗之家！,2020年12月29日 20:57,评论 , ,
love大头娃娃灬_706,#以为这个表情包是蛋糕##公交站的土地爷# 巴塞罗那高迪的建筑巴特罗之家 ​,2020年12月26日 13:10,评论 , ,
陆才艺_,【风景旅行】【高迪的骨头房子】童话世界般的巴特罗之家位于西班牙巴塞罗那市，以造型怪异而闻名于世，建筑设计历史上经典之一。 真的很适合拍下来做明信片呢~ ​,2020年12月24日 20:56,评论 , 1,
巴特罗之家,#巴特罗之家# 祝全宇宙小可爱圣诞快乐！！圣诞季 L巴特罗之家的微博视频 ​,2020年12月24日 17:31,评论 2, 16,
璩晔晔丶忠实,【风景旅行】【高迪的骨灰之家】巴特罗的家位于西班牙巴塞罗那市，以其奇特的造型而闻名。是建筑设计历史上的经典之一。真的是合拍着气做明信片呢。 ​,2020年12月24日 15:24,评论 , ,
星川君,早安，农历冬月初十辛丑日。巴特罗之家，西班牙巴塞罗那 (Jon Arnold Images Ltd/Alamy) O网页链接 ​,2020年12月24日 06:00,评论 , 1,
用户8639200664,【风景旅行】【高迪的骨头房子】童话世界般的巴特罗之家位于西班牙巴塞罗那市，以造型怪异而闻名于世，建筑设计历史上经典之一。 真的很适合拍下来做明信片呢~ ​,2020年12月23日 14:08,评论 , ,
用户8674097281_26938,【风景旅行】【高迪的骨灰之家】巴特罗的家位于西班牙巴塞罗那市，以其奇特的造型而闻名。是建筑设计历史上的经典之一。真的是合拍着气做明信片呢。 ​,2020年12月23日 10:32,评论 , 2,
勆洞子,【高迪的骨头房子】童话世界般的巴特罗之家位于西班牙巴塞罗那市，以造型怪异而闻名于世，建筑设计历史上经典之一。真的很适合拍下来做明信片呢~ ​,2020年12月22日 16:00,评论 , 1,
杨慕仰,#忘记换号的尴尬经历# 巴塞罗那高迪的建筑巴特罗之家 ​,2020年12月22日 15:04,评论 , ,
momo酱也是谢老师,#2020友情续费指南# 巴塞罗那高迪的建筑巴特罗之家 ​,2020年12月22日 13:07,评论 , ,
西班牙不是斗牛城,高迪建筑之一巴特罗之家 L西班牙不是斗牛城的微博视频 ​,2020年12月20日 13:18,评论 3, 16,
Yadira安朵,课题《高迪的魔力建筑》  今天我们通过视频走进巴特罗之家，感受高迪建筑中的魔力，小小设计师建造了自己的房子！宝贝们玩的很开心哦💕 #少儿美术##儿童创意美术# ​,2020年12月20日 10:43,评论 , ,
Yadira安朵,课题《高迪的魔力建筑》  通过视频走进巴特罗之家，感受高迪建筑中的魔力，小小设计师建造了自己的房子！宝贝们玩的很开心哦💕#少儿美术##儿童创意美术# ​,2020年12月20日 10:42,评论 , ,
Kiki_Planet_2498,#高迪# 米拉之家 巴特罗之家今天只是买东西路过～坐等重新开放 ​,2020年12月18日 06:49,评论 , 4,
巴特罗之家,#巴特罗之家# 历史总是在不经意间流逝，又在某个角落延续..  巴特罗之家还原门房工作的场景，作为100年前的符号大楼的守门人，腔调还是要的 #世界遗产##西班牙 ##历史影像##文化遗产#世界文化遗产 L巴特罗之家的微博视频 ​,2020年12月17日 19:36,评论 2, 1,
菇菇性格糟脾气坏惹人嫌8481,#用网络暴力评论写的歌##人类幼崽大型可爱现场# 巴塞罗那高迪的建筑巴特罗之家 ​,2020年12月16日 23:09,评论 , ,
花嫁喜高端婚礼机构,2020.12.16  /花嫁喜婚禮文化 巴特罗之家的花园#花嫁喜文化产业园##花嫁喜婚禮文化##花嫁喜婚禮文化   预告片# 像是置身于全是柔和波浪的巴特罗之家曼妙的曲线在氤氲的花海荡起涟漪海浪-花园-我们的家都是遇见你的样子 ​,2020年12月16日 20:54,评论 , ,
愜意人生,我想陪你看世界令人惊叹的高迪作品-巴特罗之家#带着微博去旅行# via：xiaoxiongchuchu ​,2020年12月15日 22:07,评论 4, 2,
莲灿LIANCAN,阳光下，每一片鳞片都闪耀着美妙柔和的色彩——巴特罗之家LIÁNCÀN 莲灿#时尚穿搭# 莲灿旗舰店 ​,2020年12月15日 11:27,评论 , ,
揍湜愛吖,超级超级超级喜欢巴特罗之家！在巴塞罗那的时候除了进去的那次之外，12mSKqH14，路过了几次，每次都想再进去看看 ​,2020年12月14日 13:46,评论 , ,
268trillionowner,//巴特罗之家 | 教你看懂高迪最梦幻的建筑凭借着天马行空的设计、奇幻的造型和丰富的 分享自@汽车之家 O虫虫XJ ​,2020年12月13日 08:26,评论 , ,
鱼丸小姐在西班牙,直播🇪🇸西班牙📍巴塞罗那：  大米良包场带我们逛世界文化遗产「巴特罗之家。」  建筑鬼才安东尼高迪创作成熟期完成度最高的代表建筑。,2020年12月11日 16:24,评论 1, 1,
西班牙大米良ETLiang,世界文化遗产巴特罗之家，西班牙建筑鬼才安东尼高迪完成度最高的魔幻代表作。#历史# #西班牙历史# #西班牙艺术#  西班牙大米良ETLiang的微博直播 ​,2020年12月11日 16:24,评论 330, 50,
聪明牛家的小疯,超级超级超级喜欢巴特罗之家！在巴塞罗那的时候除了进去的那次之外，还路过了几次，每次都想再进去看看,2020年12月10日 20:19,评论 , ,
西班牙大米良ETLiang,直播预告：世界文化遗产巴特罗之家，是建筑鬼才安东尼高迪创作成熟期完成度最高的代表建筑。😋 12月11日，西班牙时间9：30，北京时间16：30，包场直播。真的包场。。哈哈哈哈 2西班牙·巴塞罗那 直播预约 L西班牙大米良ETLiang的微博视频 ​,2020年12月10日 20:19,评论 7, 34,西班牙·巴塞罗那
小蘑菇202007,"巴特罗之家（Casa Batlló，1904—1906）由西班牙建筑师高迪设计,以造型怪异而闻名于世，是建筑设计历史上经典之一 O绿洲 L小蘑菇202007的微博视频 ​",2020年12月08日 13:51,评论 1, ,
用户8464508356,【高迪的骨灰之家】巴特罗的家位于西班牙巴塞罗那市，以其奇特的造型而闻名。是建筑设计历史上的经典之一。真的是合拍着气做明信片呢。 2白城·兴东商都B座服装小百馆 ​,2020年12月07日 17:42,评论 , ,白城·兴东商都B座服装小百馆
抓来天鹅鬼影4C,【高迪的骨灰之家】巴特罗的家位于西班牙巴塞罗那市，以其奇特的造型而闻名。是建筑设计历史上的经典之一。真的是合拍着气做明信片呢。 ​,2020年12月07日 11:32,评论 , ,
