USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION
上海之声网,你买张票跑到上海来，上海就变成你的地盘了！//@孙黎卿律师:博主去巴塞罗那说说看//@上海碩鼠:日本政府没有资格宣布中华民国属于大东亚共荣圈。同样，外地人也没有资格宣布上海为旅游城市。再扫一个盲，来上海旅游者，称游客。客者，当懂为客之道。喧宾夺主者，说明其父母没有教养可以传承。,2017年10月15日 16:55,评论 , ,
黄元顺_,//分享网易新闻:《高迪之城——巴塞罗那，欧洲旅游必去之城》 O高迪之城——巴塞罗那，欧洲旅游必去之城 @网易新闻客户端 #网易新闻# ​,2017年10月15日 22:45,评论 , ,
用户6166878254,OCT1015“地中海夕阳的昏黄，空气中油彩粉末的味道，消失在深夜里的吉他声，让热恋中的爱人无所顾忌地去释放爱意融入这微妙的气氛。关于浪漫的一切，你都能在巴塞罗那找到。”#悦游欧洲##10月去哪儿玩##巴塞罗那# @微博旅游 ​,2017年10月15日 19:16,评论 , ,
飘散滑润闭月,【巴塞罗那】气候宜人、风光旖旎、古迹遍布，素有“伊比利亚半岛的明珠”之称，是西班牙最著名的旅游胜地。有网友评论说，这里是欧洲的度假胜地，艺术和度假的完美结合。 ​,2017年10月15日 19:14,评论 , ,
皓月落雁思,OCT1015“地中海夕阳的昏黄，空气中油彩粉末的味道，消失在深夜里的吉他声，让热恋中的爱人无所顾忌地去释放爱意融入这微妙的气氛。关于浪漫的一切，你都能在巴塞罗那找到。”#悦游欧洲##10月去哪儿玩##巴塞罗那# @微博旅游 ​,2017年10月15日 18:18,评论 , ,
BCNOCI影像社巴塞罗那,西班牙婚纱照#欧洲旅游攻略# ，婚纱照取景于巴塞罗那 2西班牙·巴塞罗那 ​,2017年10月15日 14:25,评论 , 1,西班牙·巴塞罗那
天津市旅游信息咨询中心,#美的旅程# 夕阳下的巴塞罗那，下次牵着你的手一起来！ ​​​​@全球旅游攻略 ​,2017年10月15日 14:02,评论 , 2,
kinglovetoday,或许应该推进城市园林草坪景观景点建设。旅游业可以给城市带来很多收入，但有时觉得有些城市没什么特别的旅游项目和景点。其实类似武汉樱花，路边银杏黄叶建筑墙画可以人为造景。类似东京天空树，东京塔，埃菲尔铁塔，巴塞罗那建筑的景点。@人民网@  我国正在编制森林城市发展规划  O我国正在编制森林城市发展规划 收起全文d,2017年10月15日 10:17,评论 6, ,
倍你蛙衔,【巴塞罗那】气候宜人、风光旖旎、古迹遍布，素有“伊比利亚半岛的明珠”之称，是西班牙最著名的旅游胜地。有网友评论说，这里是欧洲的度假胜地，艺术和度假的完美结合。 ​,2017年10月15日 10:00,评论 , ,
欧洲那点事,#走遍欧洲#来到乡下，方才感到这是一块纯天然的自然风景。这里吹来的风，是带着乡间泥土气息的，带着花木香气，偶尔还会有阵阵牛粪味……🙊阳光温柔，空气微凉，宁静又自在，难怪那些诗人画家特别喜欢取材于田园生活，隐居于乡村。#西班牙之旅# 乡下度过的两天。(作者: ​​​@夜猫小娘子)#旅游那点事##Madrid##西班牙巴塞罗那##西班牙游记##西班牙隆达##西班牙马德里##旅游那点事#​@新浪旅游@西班牙国家旅游局 ​ 收起全文d,2017年10月15日 08:00,评论 , 4,
Lily云川22,#央视中文国际#【巴塞罗那货车撞人事件中国游客：人群惊慌逃离】由于兰布拉斯大街是巴塞罗那的历史名胜景区，加上目前正值当地的旅游旺季，因此汽车冲撞人群事件发生时，现场有许多来自世界各国的游客。来自中国的游客张女士当时正在事发地点附近的一家商场里购物，她向记者描述了事发时的目击过程 ​,2017年10月15日 07:49,评论 , 1,
惊恐雪白滋润,世界这么大带你去看看-巴塞罗那@带着微博去旅行@微博旅游@微博旅拍@lSyssssss#带着微博去旅行##带着微博去巴塞罗那#L米奇_Mc的秒拍视频 ​,2017年10月15日 06:54,评论 , ,
De吉人自有天相,【巴塞罗那】气候宜人、风光旖旎、古迹遍布，素有“伊比利亚半岛的明珠”之称，是西班牙最著名的旅游胜地。有网友评论说，这里是欧洲的度假胜地，艺术和度假的完美结合。 ​,2017年10月15日 06:35,评论 , ,
向往的紫色,【巴塞罗那】气候宜人、风光旖旎、古迹遍布，素有“伊比利亚半岛的明珠”之称，是西班牙最著名的旅游胜地。有网友评论说，这里是欧洲的度假胜地，艺术和度假的完美结合。 ​,2017年10月15日 06:31,评论 , ,
访蕊RJWg10_lrt茗,世界这么大带你去看看-巴塞罗那@带着微博去旅行@微博旅游@微博旅拍@lSyssssss#带着微博去旅行##带着微博去巴塞罗那#L米奇_Mc的秒拍视频 ​,2017年10月15日 05:28,评论 , ,
