USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION
鬼束月梵,米拉之家 巴特罗之家 言语无法形容的美 2西班牙·巴特罗之家 ​,2017年12月31日 22:47,评论 2, 5,西班牙·巴特罗之家
活力满满小仙女是我本人呀,米拉之家，巴洛特之家 真的是逆天了，高迪666 2西班牙·巴塞罗那 ​,2017年12月31日 15:16,评论 , 1,西班牙·巴塞罗那
青l语乐悠悠100,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2017年12月31日 13:28,评论 , ,
爱券米,这个叫Meera House(米拉之家)是由建筑师Guz设计，座落在新加坡圣淘沙岛(Sentosa)。每一个空间都是这么的绿色。这个家很生态，不知道住在里面的人们会是否有热带雨林的感受呢#刘昊然腿##爱券米# ​,2017年12月31日 09:24,评论 , ,
霂未汐,懒得连微博都不想发，这张暂且看一下吧，出自于路人甲只手在米拉之家的楼顶拍的，巴塞罗那高迪的城市等我的风景图 2西班牙·马德里 ​,2017年12月31日 07:27,评论 , 5,西班牙·马德里
昼夜嫪恋_91078,#西班牙# 新年第一游就住到超有爱的青旅，巴塞罗那Casa Gracia，米拉之家附近，楼下就是地铁站。15欧/床位包超丰富吃到撑早餐，每晚还有音乐会呀弗拉明戈呀等活动。如此设计感又超值，我的大爱呀～ ​,2017年12月31日 04:04,评论 1, ,
三分糖乌龙奶茶,#30天小日常# 12.26巴塞罗那米拉之家，巴特罗之家 LMangoManggo的秒拍视频 ​,2017年12月31日 03:31,评论 , 3,
IMJiaaaa,巴塞罗那这座城市出了毕加索，出了米罗，但是，似乎更多的人愿意称这座城市为高迪之城。巴特洛之家、米拉之家、高迪公园、桂尔宫...高迪设计的建筑让人感受到这个建筑家的天才创意，而圣家堂更是让高迪彻底神化，也让圣家堂携手高迪成为这座城市不老的传说。 ​,2017年12月31日 03:13,评论 , ,
Laisjunnie,#米拉之家# 2西班牙·巴塞罗那 ​,2017年12月30日 23:58,评论 2, 5,西班牙·巴塞罗那
世界上另一个AlbEe,#bye2017# 高迪展带回的白色烛台！诶老公真是个不懂浪漫的人儿，不过让我又多一处向往之地—-巴塞罗那圣家堂、米拉之家、巴特罗之家… 2上海·上海大悦城 ​,2017年12月30日 23:24,评论 1, ,上海·上海大悦城
仰望心空繁星,巴塞罗那这座城市出了毕加索，出了米罗，但是，似乎更多的人愿意称这座城市为高迪之城。巴特洛之家、米拉之家、高迪公园、桂尔宫...高迪设计的建筑让人感受到这个建筑家的天才创意，而圣家堂更是让高迪彻底神化，也让圣家堂携手高迪成为这座城市不老的传说。 ​,2017年12月30日 19:51,评论 , ,
TinaZHANG是个好孩子,昨天是幸运的一天 这座城市的景色不需要滤镜 在青旅碰到一群小伙伴 米拉之家  高迪的又一杰作！ 2西班牙·巴塞罗那 ​,2017年12月30日 17:56,评论 11, 3,西班牙·巴塞罗那
风山尧日,高迪的又一个著名的建筑设计代表作米拉之家（CASA MILà）。 2西班牙·巴塞罗那 ​,2017年12月30日 16:33,评论 4, 5,西班牙·巴塞罗那
iiiwenwena,米拉之家很棒 好久没玩乐高 充满回忆 魔法喷泉 皇宫博物馆 还有很多 记不到了 血崩的一天 第一次逛街逛到崩溃 真的是崩溃 这个点我还没睡 巨困 但是还没洗漱 可能还有半个小时吧 ㊗️明天一路顺风 2西班牙·巴塞罗那 ​,2017年12月30日 08:01,评论 , ,西班牙·巴塞罗那
是花花fafa呀,📍圣家族教堂📍巴特略之家、📍米拉之家📍古埃尔公园不能想象没有Gaudi神作的巴塞罗那该是怎样的孤独… 2西班牙·巴塞罗那 ​,2017年12月30日 07:04,评论 5, 12,西班牙·巴塞罗那
沐子闻,#旅游##西班牙##巴塞罗那##米拉之家##凯旋门##帕特罗之家##圣家堂##纪念斗牛场# 为期两天半的巴塞罗那之旅结束，下一站要飞到波尔图跨年咯！ 2西班牙·巴塞罗那 ​,2017年12月30日 06:15,评论 , 2,西班牙·巴塞罗那
厚叔行迹,#米拉之家# 各种动物植物的纹理建成了这个伟大的建筑🏠 2西班牙·米拉之家 ​,2017年12月30日 04:27,评论 , 1,西班牙·米拉之家
CheukNinf,#巴塞罗那##Barcelona#2西班牙·米拉之家#高迪朝圣之行# 2西班牙·巴塞罗那 ​,2017年12月30日 03:11,评论 , ,西班牙·米拉之家西班牙·巴塞罗那
爱分享少校,这个叫Meera House(米拉之家)是由建筑师Guz设计，座落在新加坡圣淘沙岛(Sentosa)。每一个空间都是这么的绿色。这个家很生态，不知道住在里面的人们会是否有热带雨林的感受呢 ​,2017年12月29日 16:47,评论 , ,
走遍世界看风景,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2017年12月29日 16:26,评论 , ,
胡恩绮Heidi,巴萨罗纳的传奇-高迪：圣家堂、米拉之家、巴特罗之家。 2西班牙·巴塞罗那 ​,2017年12月29日 13:35,评论 2, 4,西班牙·巴塞罗那
沙漠小提琴,#叙述# 阿哲一个人在巴塞罗那骑自行车、开敞篷跑车、乘巴士……听写歌，看着他在拍米拉之家、在日本的铁道边徘徊……,2017年12月29日 12:11,评论 , 2,
