USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION
黯淡发慌多音,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月31日 17:17,评论 , ,
方式天高瘦弱拥,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月31日 11:51,评论 , ,
雷蒙德粽petard,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月31日 06:12,评论 , ,
用户6193263322,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月31日 03:28,评论 , ,
风抚琪过后后的我,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月31日 02:03,评论 , ,
风雪中路人甲,安东尼奥·高迪（Antonio Gaudi，1852年6月25日—1926年6月10日），西班牙建筑师，塑性建筑流派的代表人物，属于现代主义建筑风格。作品包括古埃尔公园、米拉公寓、巴特罗公寓、圣家族教堂等。一生作品有17项被西班牙列为国家级文物，7项被联合国科教文组织列为世界文化遗产。 2北京·北苑南路38号院 ​,2018年08月31日 01:22,评论 , ,北京·北苑南路38号院
游走的高伯伯,英国西班牙坑爹景点推荐：1. 英国巨石阵……千万不要去，天气不好更不要去，放心吧，你不是地质学家历史学者，啥也看不出来的2. 西班牙古埃尔公园……在巴萨，看完高迪那三大建筑，来这里简直就是画蛇添足。而且，奇远无比，下地铁还要翻山越岭把人搞的贼累，里面也很平淡，人又很多，无趣以上，供参考。 收起全文d,2018年08月31日 00:03,评论 1, 2,
Dslui,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月30日 21:08,评论 , ,
乘是非j93,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月30日 17:26,评论 , ,
用户6160939048,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月30日 07:05,评论 , ,
简早安tenuto,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月30日 06:38,评论 , ,
乱世浮生陈小鑫-_,ph376【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月30日 04:35,评论 , ,
郁葱笔直文辞,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月30日 03:17,评论 , ,
excuss一丁,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月29日 22:01,评论 , ,
24Frames环球旅拍,#带着微博去旅行# 西班牙巴塞罗那旅拍小攻略 | 古埃尔公园、博盖利亚大市场✨古埃尔公园很多地方的景点千篇一律，而西班牙的恰恰相反，一定要去呀！高迪的神秘设计绝对不虚此行，不过要想拍到包场照片的话一定要在早晨八点开园时就到那里~。网上买票很方便，8欧/人，到现场扫描二维码即可。✨博盖利亚大市场是欧洲最大、商品最多的市场，真的有各式各样的水果和果汁，最特色的是混着鲜奶沙冰的果汁，推荐椰奶口味喔！非常适合拍摄旅行中生活感满满的照片，而且大市场旁边就是兰布拉大道，可以逛吃逛吃，路边还有好吃的特色海鲜饭，不会踩雷的那种！图片是我们的巴塞罗那客片，十月巴塞罗那旅拍可约喔！#24Frames环球旅拍# #巴黎旅拍# #旧金山旅拍# #奥地利旅拍# #西班牙旅拍# #日本旅拍# #新西兰旅拍# #悉尼旅拍# 收起全文d,2018年08月29日 17:40,评论 9, 4,
想回家吃巷巷粉,qh527【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月29日 07:25,评论 , ,
sweetsmilefish_,-在做巴塞罗那攻略 问张斯琪哪里比较好玩 她说古埃尔公园 我说好的 她接着说 门口小贩卖的耳钉很好看 公园一般般............👌👌  ​​​,2018年08月29日 06:06,评论 , 1,
晨曦de雾,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月23日 18:17,评论 , ,
规lazypig88,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月23日 17:37,评论 , ,
MissE-晴天娃娃,#巴塞罗那# 最有名的地方，古埃尔公园算得一处。高迪与古埃尔创意的结晶，然而一直就是一座烂尾楼盘，尽管对于高迪，巴塞罗那人崇敬异常，但也没能挽救它的命运。早晨8点以前，入园免费！可以来吃个早餐，当然早餐需要自带啦。2西班牙·古埃尔公园#高迪# ​,2018年08月23日 17:24,评论 , ,西班牙·古埃尔公园
旅游头条热点,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月23日 07:53,评论 , ,
kkK郑,大树229【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月23日 05:35,评论 , ,
urnot小路口,📍巴塞罗那，城市规划很棒，街区都是方形的，强迫症一脸满足。两天里看了高迪的作品，巴特罗之家、米拉之家、古埃尔公园、圣家堂，在他的建筑里看到了大自然，疯狂喜欢！（期待圣家堂建好的样子！）（巴塞罗那比意大利好太多了！也没那么热 喜欢！！）（海鲜饭也好吃！）（不是球迷去参观了巴萨的球场还有博物馆，感觉很值啊，可以去休息室 采访区 球员通道 每一层看台 连解说指挥台也坐了坐） 2西班牙·巴塞罗那 2西班牙·巴塞罗那 收起全文d,2018年08月22日 14:48,评论 4, 6,西班牙·巴塞罗那西班牙·巴塞罗那
ThissCissy,沉醉在高迪的奇思妙想里—巴塞罗那从瓦伦西亚一路开到巴塞罗那已经是下午了，到酒店办好入住后，我们一行是个人就一同前往古埃尔公园Park Güell，古埃尔公园是高迪受古埃尔伯爵所托，为巴塞罗那贵族们打造一座花园式社区。高迪的成功和古埃尔伯爵有着千丝万缕的联系，古埃尔伯爵是高迪的好友，也是其背后的“金主”。除了古埃尔公园外，他还委托高迪为他在巴塞罗那郊区的纺织工业区设计一个工人村，后来取名古埃尔领地。规划中的古埃尔公园内每一栋住宅都有极好的采光，并可以俯瞰以大海为背景的巴塞罗那市容。遗憾的是古埃尔公园最终未能完工，只建成了门房、中央公园和观景天台这几部分。然而，这个“烂尾楼盘”却被联合国教科文组织列入世界文化遗产。古埃尔公园的设计灵感来自于自然界中的动物，并且通过许多别具风格的石质结构，五颜六色的瓷砖，打造出了一个色彩斑斓的童话世界。来到公园中心大厅的屋顶，人们可以从这里俯瞰整个公园和巴塞罗那。此外，屋顶的外缘有一圈长椅，如同巨龙的脊骨一般盘踞在屋顶上，据说这是世界上最长的椅子。这条长椅看起来坚硬，其实是经过人体力学的考量，坐起来非常适宜。离开屋顶，我们向下来到著名的百柱厅。这个有86根罗马风格立柱支撑的建筑原本是一个公共市场。中空型的立柱除了支撑屋顶之外，兼具导水泄洪的功能。立柱支撑起的屋顶上还有精彩的马赛克圆盘装饰，使到百柱厅更加生动和美观。百柱厅两侧的高架走廊看起来如同自然洞穴一般，走廊有多根斜柱支撑，看似随时将会倾覆却已坚固屹立了近一个世纪，像是有意向人们展示着斜柱和直柱的力学实验对比。后来我们才知道，这种设计也是源于动物的背骨脊柱。最后我们来到了中心花园，也是整个公园最精彩的地方。花园内有有三座造型独特的喷泉，表面均采用马赛克瓷片拼成，色泽艳丽、造型生动。尤其是蜥蜴喷泉，除作为公园的主题象征和镇园之宝外，它们还兼有重要的排水功能。 收起全文d,2018年08月21日 10:46,评论 , 3,
HolyPrayer0527,🇪🇸 巴塞罗那之1⃣ 凯旋门—>2⃣ 巴塞罗那大教堂—>3⃣ 哥伦布观景台—>4⃣ 古埃尔之家（高迪作品）—>5⃣ 毕加索博物馆—>6⃣ 地中海beach—>7⃣ 城堡公园🏃毕加索博物馆在世界上有三座，一座在巴黎，一座在巴塞罗那，另外一座在马拉加。里面收藏了很多毕加索的作品，不太好找在巷子里，也不允许拍照噢！ 2西班牙·巴塞罗那 收起全文d,2018年08月20日 12:21,评论 , ,西班牙·巴塞罗那
媛WHY叶子,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月20日 02:18,评论 , ,
PerfectFrame铂扉婚纱摄影,有人把巴塞罗那称作高迪之城，这座城市里很多建筑都出自高迪之手。圣家堂、米拉之家、巴特罗之家、古埃尔公园……各种奇异的造型，充满无限趣味。欢迎走进高迪的奇幻世界~photo by @weejohnson in Barcelona2西班牙·巴塞罗那 旅拍#  #欧洲旅拍# #旅拍攻略# #欧洲旅拍# ​,2018年08月19日 22:10,评论 , 2,西班牙·巴塞罗那
园轩跎,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月19日 18:21,评论 , ,
追梦泡泡鸿恒格,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月19日 17:46,评论 , ,
Abaophoto海外婚纱摄影师,#国外婚纱摄影##巴黎婚纱摄影##蜜月旅行# “正常人往往没有什么才气，而天才却常常像个疯子。” - 高迪的古埃尔公园- 整座公园像一个童话世界。 手机随拍 ​,2018年08月18日 13:23,评论 , 5,
用户6462154605,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月18日 11:12,评论 , ,
李点点不是一点点,sd653【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月17日 22:23,评论 , ,
我妈做啥吃啥,#我妈做啥吃啥#  #萌娃长成记# #带娃去旅行#  西班牙 我妈做啥吃啥第38集视频配图 本集视频的美景部分，是巴塞罗那。一起看看西班牙街头长满果实、无人采摘的橙子。2013年去的西班牙巴塞罗那，很喜欢那里大街小巷结满橙子、橘子的绿化树。并没有人去采摘。但其实，我很希望能捡到一个掉落在树下的果实，可惜没有。   巴塞罗那，很适合去旅行，西班牙水果蔬菜、美食很多。各种各样好吃的，适合饕餮们去大朵快颐。巴塞罗那的老城区，12月的深夜依然人声鼎沸，很热闹，很有节日的氛围。还可以去看毕加索博物馆、奥运会场馆、圣家教堂、米拉之家、古埃尔公园、兰布拉大道等。巴塞罗那的海滩，有4.5公里的海滩，也很漂亮。 如果带娃去西班牙旅行的话，推荐去巴塞罗那。 有机会想带蹦蹦，也再去一次巴塞罗玩。 以下信息来自于百度：巴塞罗那是加泰罗尼亚的港口城市，是享誉世界的地中海风光旅游目的地和世界著名的历史文化名城，也是西班牙最重要的贸易、工业和金融基地。巴塞罗那港是地中海沿岸最大的港口和最大的集装箱集散码头，也是西班牙最大的综合性港口。巴塞罗那气候宜人、风光旖旎、古迹遍布，素有“伊比利亚半岛的明珠”之称，是西班牙最著名的旅游胜地。 收起全文d,2018年08月17日 21:20,评论 , 2,
陈若萌萌哒,#我的旅行穿搭日志#OOTD#带着微博去旅行# 背后的设计是亮点古埃尔公园的马赛克跟纯色更搭 ​,2018年08月17日 16:31,评论 , ,
憨豆小姐MS,过年的旅行想好了~~~~~西班牙9日跟团游·【2019年低价预售】【往返直飞 2件托运行李 全四星酒店 含司导服务费】古埃尔公园高迪艺术 白色海岸阿利坎特 龙达悬崖城 安达卢西亚三重镇 托莱多世遗城 赠4人一台WIFI使用 O网页链接 ​,2018年08月17日 13:38,评论 , ,
鲜花相恋端庄,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月17日 13:04,评论 , ,
在水一方htff,西班牙伟大建筑师 — 高迪 Various Artists(安东尼奥·高迪)       西班牙建筑师，塑性建筑流派的代表人物，属于现代主义建筑风格。设计过很多作品，主要有圣家族大教堂（圣家堂）、古埃尔公园（奎尔公园）、巴特罗公寓、米拉之家等。高迪一生的作品中，有17项被西班牙列为国家级文物，7项被联合国科教文组织列为世界文化遗产。高迪曾经说：“直线属于人类，曲线归于上帝”，事实上圣家族大教堂的建造过程本身就是一个上帝之手的传奇。 收起全文d,2018年08月17日 07:50,评论 , 1,
Jo开开,古埃尔公园以及坐在被子里吃的樱桃～ 2西班牙 ​,2018年08月17日 04:35,评论 , 1,西班牙
六盘水时尚生活,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月17日 01:39,评论 , ,
北京睿盈达国际展览有限公司,"为何一生中一定要去趟巴塞罗那?如果人生有一次的旅行机会，那一定要去巴塞罗那BARCELONA当你独自旅行，身体与灵魂在路上，全世界的有缘人都会是你的旅伴与同路人。BARCELONA为什么是巴塞罗那?为什么我会这样选择?是因为我热爱的巴塞罗那足球俱乐部?是因为那所永远都在建设中的教堂?抑或是，仅仅因为寒冷的冬季，选择了较为温暖的巴塞罗那?或者，仅仅是因为一部《午夜的巴塞罗那》?追逐自己的信仰我在巴塞罗那沿着滨海的这条大道，一路走走停停便看到动人的海景，吹着温柔的海风，坐在柔软的沙滩上，看看海港中的白色帆船，看看不远处大朵大朵的白云，看看海滩上嬉戏的人们。如果可以选择，再一次出生，一定要长在巴塞罗那的海边，平时就在路边躺椅上晒太阳，周末叫上朋友们打沙滩排球，冬季的阳光就晒在身上，晶晶亮，海风吹着背心直晃，少年总是充满希望。累了就去旁边的Bar点一杯啤酒或果汁，享受着惬意的休闲时光。高迪之城 | City of Gaudí蓝色星球上有无数艺术之都，可因为一个人而熠熠生辉的却只有一地。这里是巴塞罗那，这里因高迪闻名于世。在巴塞罗那任何一个导游，都会告诉你这是座高迪之城。这位老人叫安东尼·高迪，终身未婚，把自己的一生都献给巴塞罗那的男人。高迪这一辈子几乎没有享受过任何人间的乐趣:音乐、社交、运动、爱情……这些俗物对他来说比未知的未来还陌生。在七十四年的生命旅程中，他乐此不疲的只有两件事: 1、在生活中观察研究大自然;2、在建筑中体现大自然。圣家堂 | Sagrada Familia高迪献给巴塞罗那最珍贵，最怡情的恋人礼物 这个世界上在建的最大教堂，靠近建筑，自然不知道从哪里开始，艺术不知道从哪里终止。刻在我脑海里印象最深的一句话就是:阳光就是最好的画家!惟妙惟肖的雕塑，斑驳起伏的墙面，不计其数的细节，高耸入云的塔楼--只有亲临此处，才能感受到高迪在此投入的时光与心血。外观已足够震撼，步入其中，则更体会到宗教与建筑相辅相成的力量。走进圣殿，如同步入一座森林。抬头仰望穹顶，看到立柱如同参天大树枝条交错，光与影在眼前变换颜色。虽为教堂，圣家堂的彩窗上却没有绘制具体的圣人图案。然而当阳光穿透彩色玻璃，鲜明的对比与斑斓的色彩却更让人心生对神明的敬畏。高耸如树的立柱，恰到好处的光线，加上随处可见的寓意符号--建筑之美体现得淋漓尽致。只有真正到了圣家堂才知道，曾经看过的每一张照片，都只是冰山一角，完全不能展现出圣家堂真实的、令人震撼的、危险、而神秘的气息。关于高迪和圣家堂还有一段故事：原本设计圣家堂的签约建筑师仅仅完成了地下室的部分建造后就撂挑子不干了，于是古埃尔伯爵不失时机地推荐了时年31岁的高迪。此后的43年，高迪的生命就和圣家堂融为一体了。缘分有时就是这样。为了圣家堂他推掉了所有的建造委托。他不断地琢磨、修改教堂的设计，源源不断地把自己从自然、色彩和动植物中汲取的灵感输送到这里。古埃尔公园 | Park Guell高迪创造的一个奇迹，一个不老的乌托邦 在巴塞罗那的某一个午后，坐在五彩斑斓的长椅上，隔着墨镜透过树叶间的细孔对望整座城、不远处的地中海，听着广场传来悠扬动听的音乐，微风拂过被烤得温暖的皮肤，幻想着此刻变成一只海鸥自由飞翔在巴塞罗那的天空中。看似巴洛克甚至偶尔有哥特的影子，却被五颜六色的装饰点缀得充满了童话色彩:比如公园入口处的小楼，外墙镶嵌着白、线、棕、蓝、绿、橘红等颜色的碎瓷片，屋顶上有许多小塔和突出物，却让人的脑子里升起儿童故事""查理和巧克力工厂""。整个公园充满着梦幻般的童话色彩，与其他的建筑不同，它是一座灵感来源于大自然的产物。在这里没有人为设计的冰冷坚硬，只有模仿大自然的温暖可爱，因为高迪坚信，大自然已经为人类创造出最独特的风景。 收起全文d",2018年08月16日 16:44,评论 2, ,
时尚起义,【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月16日 14:59,评论 , ,
premix郑郑,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月16日 10:13,评论 , ,
畏缩模仿单,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月16日 04:16,评论 , ,
说个笑话我很爱你,小暖325【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月16日 02:56,评论 , ,
用户6166680516,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月15日 20:52,评论 , ,
橘子h皮,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月15日 17:03,评论 , ,
丽江高原山珍,#我就是那个猴仔#【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2018年08月15日 06:28,评论 , ,
可修改1次的,【古埃尔公园】古埃尔公园原本是20世纪初被开发作为高档居住区的地块，但14年内只卖出两户，其中有一户便是著名的建筑师高迪。这座公园不管是石阶、石柱和弯曲的石椅上都贴满了各式的马赛克，全由磁砖拼贴而成，色彩灿斓，让人有身处梦境之感。 ​,2018年08月15日 04:01,评论 , ,
