USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION
一只ttttooomato子子,first day还没完工的圣家堂门口高迪设计的米拉之家咸到爆炸的海鲜饭三个人不是聋了就是瞎了 要不然就是没味觉总之 很开心 2西班牙 ​,2017年07月31日 18:25,评论 6, 3,西班牙
很会吃的小盆友,世界遗产美图 从空中鸟瞰巴塞罗那圣家堂。Via猫眼中的平行世界 ? ​,2017年07月31日 12:42,评论 , ,
天蓝007828,今天的收获不仅有药妆，更多的是进入圣家堂后的震撼就是因为高迪作品的吸引，选择了来西班牙旅游 2西班牙·巴塞罗那 ​,2017年07月31日 06:08,评论 3, 2,西班牙·巴塞罗那
不二言四,高迪的建筑让我认清了一个事实：我是真的恐高，之前在Casa batilló的屋顶是这样，圣家堂的Nativity facade上也是这样，这次米拉之家的屋顶再一次验证了我的恐慌。努力表现得风轻云淡，其实扶墙只是腿软，也许是我太热爱生命了，所以才太害怕死亡 2西班牙·米拉之家 收起全文d,2017年07月31日 00:29,评论 3, ,西班牙·米拉之家
GPA1217,安东尼·高迪认为“直线属于人类，曲线属于上帝”，他还说“太阳是最好的画家”，所以他的观念也造就了圣家堂不论是从建筑意义，或是对于光影的运用，以及艺术欣赏的价值来说，都绝对是世上独一无二的建筑艺术珍品🎨希望在2026年，高迪逝世百周年时，圣家堂能够顺利竣工！ 2西班牙·巴塞罗那 ​,2017年07月31日 00:28,评论 , 2,西班牙·巴塞罗那
-三十六-,目前看过的觉得最好看的教堂……可以超过圣家堂大教堂了 2俄罗斯·滴血大教堂 ​,2017年07月30日 23:24,评论 4, 4,俄罗斯·滴血大教堂
昇龍帥_城市杯旅行家,圣家堂，2016年完工～🕍 ​,2017年07月30日 23:11,评论 2, ,
馬町叔叔,圣家堂（Sagrada Família）内部篇Part. II。「这座倾注了高迪晚年几乎全部精力的圣殿，无处不显示着这位天才的奇思妙想。对几何原理的娴熟运用、对自然元素的借鉴和对光线的掌控令这座教堂显得如此超前而又独一无二，站在大厅中间仿佛置身于宇宙的中心。」如果所有教堂都长得大同小异，那这座注定是个异类。photo by D810 @西班牙国家旅游局 @西班牙驻华大使馆官方微博 @尼康中国 @走遍欧洲 #西班牙##巴塞罗那##欧洲旅游##圣家堂#  ​​​ 2西班牙 收起全文d,2017年07月30日 22:48,评论 13, 8,西班牙
王雪兒_Snowbaby,不知道有多少人因为看了《Vicky Cristina Barcelona》对巴塞罗那这个地方魂牵梦萦真的是太浪漫了！身临圣家堂 不得不感叹 高迪的鬼斧神工之作 ！ps：这次入住的是“萨尔瓦多 宫”酒店 超喜欢这种欧洲宫廷感觉的酒店 非常有味道！早餐很好次 地理位置也非常好 离景点和购物的地方 都非常的近 可以步行 推荐推荐 2西班牙·巴塞罗那 收起全文d,2017年07月30日 18:33,评论 165, 617,西班牙·巴塞罗那
我要蓝胖子,久仰圣家堂大名，也看过很多图片，见实物还是被深深震撼！内部设计更是美轮美奂，用相机呈现出来的图片和实物比差太远太远！           ——圣家堂始建于1882年，预计于2026年，即高迪逝世的百年纪念之时完工。 ​,2017年07月30日 15:04,评论 , ,
