USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION
Michybae凌,好美好美好美。🉑️见到现在一见到圣家堂我就想起圣米格尔的“粉色蛋糕”大教堂，随后就无法自拔得想去圣米格尔居住。💜,2019年06月17日 21:02,评论 , ,
小鹿稀里哗啦乱跳,圣家堂真的好美好美好美 2西班牙·巴塞罗那 ​,2019年06月17日 22:27,评论 4, ,西班牙·巴塞罗那
April喜2卡萨布兰卡,最后一天打卡了建筑大师高迪的著作——圣家堂⛪这是我看过最不像教堂的一座文化遗产  而像一个“魔幻森林”  高迪融合了大自然的元素与天主教元素  个人感觉更像是呈现一种西方宗教信仰的最高殿堂  总的来说  it's gorgeous ​,2019年06月17日 22:26,评论 3, 1,
xueyunnn,只有穿上这一身才有安全感去圣家堂不让穿短裙我可真是不知道咋穿衣服了 2西班牙·Barcelona ​,2019年06月17日 21:57,评论 6, 13,西班牙·Barcelona
wuli小美女,我是真心希望格子可以去巴萨踢球从欧洲回来一个月了，除去湖光山色美好的萨尔茨堡和慕尼黑（国王湖），大猪肘子好吃的布拉格和克鲁姆洛夫，我最喜欢最想再去最怀念的城市就是巴塞罗那了。好想再去一次圣家堂呀，吃海鲜饭，睡在沙滩上吹地中海的海风晒着阳光。没有进诺坎普看一场球赛真的好遗憾，但也是遗憾才会让我更想去一次呀～相比之下感觉意大利和法国的存在感好低哈哈 2香港 收起全文d,2019年06月17日 20:40,评论 8, 3,香港
foreveryoungny,转发微博,2019年06月17日 08:02,评论 , ,
伊天涯Easky,"June 8, 2019 - 远眺依然在建造中的巴塞罗那「圣家堂」（Sagrada Familia），西班牙。6月7日，巴塞罗那市政府正式批准圣家堂的建设许可证，这是该教堂自1882年动工至今首次获得官方许可。圣家堂基金会承诺未来10年内向市政府支付3600万欧元，用于改善周边 @iDaily每日视野 O网页链接 ​",2019年06月17日 20:09,评论 , ,
muntai,【看世界】圣家族大教堂，这个被写入教科书建筑即将完工了，官方宣布在2026年完工。教堂始建于1882年，至今已建136年还未竣工，但它已经被联合国教科文组织列为世界文化遗产；2010年11月，更是被教皇本笃十六世封为宗座圣殿。圣家堂的魅力无以言表，很少有人能见之不为所动。主体是高迪设计的18座高塔。中央最高的代表耶稣，周围环绕的4座代表４位福音传道者，北方向的后塔代表圣母玛利亚，其余各立面分别设置12座则代表耶稣的十二门徒。@若水 收起全文d,2019年06月17日 20:08,评论 , ,
小赞兔肉肉,当时去时间都留去滑雪 西班牙只能走马观花，却在圣家堂 呆了4.5小时 感叹高迪的巧思，思考每一个立面的意义 btw教堂内的光影效果真的是绝,2019年06月17日 18:00,评论 , ,
天津caicai,巴塞罗那 地中海 米拉之家 圣家堂 巴罗特之家 2天津 ​,2019年06月17日 18:02,评论 , 1,天津
八颗星,打卡圣家堂，蓝天下怎么拍都超好睇～ 2西班牙·巴塞罗那 ​,2019年06月17日 18:00,评论 , ,西班牙·巴塞罗那
