USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION
Doggy_ioi,"July 31, 2019 - 两名游客正在阅读一份抵制旅游业的传单，上面写着「过度拥挤的旅游业」，西班牙巴塞罗那圣家堂。巴塞罗那城市人口约160万，每年游客人流量高达2000万。过度发展的旅游业进一步加重街道拥挤、住房短缺等问题，引发当地居民的抗议。为减少 @iDaily每日视野 O网页链接 ​",2019年07月31日 22:57,评论 , ,
SsOvu-足球队gfl,《无名之辈》成为了我近期的洗澡之歌，很燃。今天一直在想，作为无名之辈的我，一辈子还能不能遇到一件，让我愿意燃烧自己拼劲全力去追求、提起来就热泪盈眶的事情。“燃烧华丽的烟火，绽放一次就足够了，奢求什么”图片拍摄于巴塞罗那圣家堂 ​,2019年07月31日 22:44,评论 , ,
八瓣娑萝,#巴塞罗那大教堂#，看过圣家堂，这个教堂也就没有什么惊艳之处了⛪️。这大概就是所谓的曾经沧海的感觉🙊 ​,2019年07月31日 22:15,评论 2, 4,
XavierWu,"#P# July 31, 2019 - 两名游客正在阅读一份抵制旅游业的传单，上面写着「过度拥挤的旅游业」，西班牙巴塞罗那圣家堂。巴塞罗那城市人口约160万，每年游客人流量高达2000万。过度发展的旅游业进一步加重街道拥挤、住房短缺等问题，引发当地居民的抗议。为减少 @iDaily每日视野 O网页链接 ​",2019年07月31日 22:09,评论 , ,
Ciento,又见圣家堂 ​,2019年07月31日 22:09,评论 , 2,
星轩的天空,"July 31, 2019 - 两名游客正在阅读一份抵制旅游业的传单，上面写着「过度拥挤的旅游业」，西班牙巴塞罗那圣家堂。巴塞罗那城市人口约160万，每年游客人流量高达2000万。过度发展的旅游业进一步加重街道拥挤、住房短缺等问题，引发当地居民的抗议。为减少 @iDaily每日视野 O网页链接 ​",2019年07月31日 20:54,评论 , ,
墨鱼在澳門,"July 31, 2019 - 两名游客正在阅读一份抵制旅游业的传单，上面写着「过度拥挤的旅游业」，西班牙巴塞罗那圣家堂。巴塞罗那城市人口约160万，每年游客人流量高达2000万。过度发展的旅游业进一步加重街道拥挤、住房短缺等问题，引发当地居民的抗议。为减少 @iDaily每日视野 O网页链接 ​",2019年07月31日 20:50,评论 , ,
cigaree,从乌云密布的圣家堂到蓝天白云的兰布卡大道，穿梭在彩色的集市，阳光下品尝着桑格利亚酒，大口大口吃着Tapas小菜……巴塞罗纳热情自由奔放#hola##spain##西班牙##巴塞罗纳##带着微博去旅行#@微博旅游 @带着微博去旅行 2西班牙·巴塞罗那 ​,2019年07月31日 19:43,评论 , ,西班牙·巴塞罗那
dongdonglv,有吊车的地方就是圣家堂 ​,2019年07月31日 18:53,评论 1, 1,
青猫君,A5活页三折圣家族大教堂主题手帐完成。本子主人要求很简单，就只说要做圣家堂主题，其他的交给我设计。几个月前就开始搜集资料，找了一百多张关于它的照片，看了十几篇文字介绍，推翻了自己设计的前两个版本（一个是因为彩色花窗的材料不好实现，另一个是因为三个立面的雕塑风格实在太不相同没法统一雕在本子上），最后做了你们看到的最终定版。前前后后制作加设计用了一个月的时间。正面盖子做了教堂彩窗的镂空，用意大利擦蜡水泥灰植鞣。背面雕了加泰罗尼亚语的主祷文，小字部分是各国语言的主祷文，曾经想过用铜模压，但是出不来手刻效果，所以狠狠心还是用手刻（此处就不放我浮肿起泡的手指照片了😂）。书脊做了起鼓处理，镂空烫金了十字架，正面手绘了受难面（过程图见上一条微博）。本子主人等了一年多，希望他满意 收起全文d,2019年07月31日 17:32,评论 93, 271,
阿克苏诺贝尔中国,如果说地标是一座城市的名片的话，那阿克苏诺贝尔就是给了城市的名片涂上了一层烫金保护膜。除了参与保护吉隆坡国油双峰塔、伦敦碎片大厦、巴塞罗那圣家堂、北京鸟巢、悉尼歌剧院，阿克苏诺贝尔又助力堪称“史上最壕”城市综合体的纽约哈德逊城市广场，Vessel、The Shed、10 & 30 Hudson Yards……吸睛无数，文末更有国内著名地标，快来指认哦。详情请戳：O壕无人性的纽约新icon哈德逊城市广场？我可以！ 收起全文d,2019年07月31日 16:44,评论 1, ,
王霏Julie,西班牙游记：巴塞罗那。最后说一说巴塞罗那的游览，主线可以说是“高迪线路”。高迪拥有超常的热情和对宗教的热爱，这可以从他的作品中得以体现。No1.米拉之家，一个神采飞扬的公寓楼，整个建筑物给人一座完整雕塑作品的感觉，连烟囱和排气孔都被巧妙的雕塑成面具人形。那种童真的艺术手法和纯净的灵魂，就那样自然的纯朴地看着你，仿佛就是童年的自己。No2.巴特罗公寓，真的惊艳到了。通常来说太过雕琢会给人浅薄之感，但高迪的作品，不但雕琢到极致，还保留着一种灵魂的质感，可能只有宗教才能到达的高度。巴特罗公寓外立面使用了高迪熟悉的马赛克，那么唯美地、干净地点缀着整个建筑墙体。包括楼顶上的那条龙。精美的窗户、阳台几乎每一个都不尽相同。而建筑内的设计细节，通过螺旋和曲线也跟外部形象完美结合。No3.奎尔公园，公园一边是由石块堆砌起来的拱券长廊，只有一种原始的颜色。公园另一边是数不清的色彩，数不清的马赛克小瓷片，数不清的图案，还有那只彩色的大蜥蜴，漫步这个公园，我仿佛看到高迪像孩童捏泥巴一样，用原始的冲动，真实的初心，呈现出野性的艺术张力。No3.圣家族大教堂，用惊人来形容看到它的第一眼，是游人的同感。它是那么厚重，那么壮观。在高耸的塔顶尖上，镶嵌着高迪标志的马赛克，在夏日西班牙热烈的阳光下，闪着斑斓的亮光。有种现代的视觉感。这是高迪晚年的作品。他用后半生的37年来设计并参与建设，死后也埋藏在这宏伟作品的地下。有朋友在见到它的第一眼，就曾泪流。当时听到这话，我无法理解，但今天身处其境，用惊人来形容看到它的第一眼，是游人的同感。这座很多项世界第一名头的教堂，是高迪一生才华凝聚，可以说糅合了古老和现代。它建设了100多年，现在还在建设，预计2026年可以建成。走入圣家堂内部，震撼到无言可能是唯一的表达～这就是为什么我们要身临其境，才有旅行的感悟。因为那种震撼无法表达。在教堂内部，通过巨大的石柱渐次支撑起来的巨大中庭。空间才是这里的主角。突然我想起老子的话：有之以为利，无之以为用 收起全文d,2019年07月31日 16:30,评论 , ,
